date,open,high,low,close,volume
2025-04-21,698.7828052575833,699.9098488043884,697.5577659551312,699.2778145312373,1995935
2025-04-22,696.6298658584088,697.0695647919272,694.5241494384038,696.4058923433805,1858659
2025-04-23,697.7691922266418,698.7238973550013,695.1560560808256,697.5983542443482,2018044
2025-04-24,699.7377189380557,698.757699249481,697.8188808731584,698.744217788116,2058508
2025-04-25,699.2675183191217,703.030092264415,697.2264346066825,699.2648198003436,2486295
2025-04-26,698.1825293121487,699.5152211868426,693.8002586791221,698.0341287078799,2766916
2025-04-27,696.7007474869387,698.8440606072649,696.3105111513034,696.6208887940452,2134423
2025-04-28,698.486041441189,701.2650512680895,697.335627278434,699.0123289132497,2109537
2025-04-29,701.0086254211982,703.384195718512,697.8419339264984,700.5023222207808,911145
2025-04-30,700.03225781264,702.8173779002759,697.6511737189649,700.3132589405408,1297305
2025-05-01,702.832593862463,703.0414474548581,700.3053991976581,701.2920285791366,1154537
2025-05-02,700.2981275395878,703.7827704155486,698.5705566169496,701.1127441668059,2471727
2025-05-03,702.8784955064855,706.5181324741836,701.1532061421118,703.0487561527132,2372034
2025-05-04,701.9620091582591,707.1826415540496,700.6069286154112,701.5842153664469,1247001
2025-05-05,701.1044360809157,702.0529564086063,701.4801189072466,702.0469066694865,1867124
2025-05-06,704.2465835896443,706.5844883311497,701.4278200337556,702.8156066672851,1891024
2025-05-07,707.016558821016,709.2182955408176,705.6707887152277,705.6906208026803,2853528
2025-05-08,705.3959270772363,704.9914003748481,703.6831699824927,704.9020033531004,1758035
2025-05-09,704.3381626522649,705.1573742228945,704.908643993295,705.0743196042121,1105234
2025-05-10,706.674711272135,709.0493071100738,703.0743257942999,705.6978525674864,1756839
2025-05-11,705.3348583333491,706.7041978815505,704.5872212525699,705.8068245866901,2013944
2025-05-12,706.3535608547714,707.8851535010152,705.2051235774558,706.6830433178454,2195229
2025-05-13,704.794686529181,707.2275035931397,703.3357657094847,704.834059070039,1634226
2025-05-14,701.5249976379248,702.8180777297687,699.8404118074175,702.4202793773031,1467656
2025-05-15,701.7769031343964,706.317586495439,700.9109836478575,701.7123293045736,1063867
2025-05-16,703.4661683591077,707.9490494842946,701.5843972340657,703.1047431947841,1476775
2025-05-17,704.2331877150865,706.1505268228655,702.000811525702,703.7813105599038,1419564
2025-05-18,702.9604614111239,705.3757384896211,702.0895888067279,703.440823480219,2757922
2025-05-19,701.6242574684277,704.241501555082,698.5954806269868,701.6338052889023,1726408
2025-05-20,700.9177657572735,701.3919487242847,699.7562688625841,700.9269170357787,1332276
2025-05-21,700.8898208829407,703.0006500370866,698.5165068835232,701.2383826142614,2241544
2025-05-22,703.2453495980151,706.13413651856,700.5415208095095,703.6243746169403,1919061
2025-05-23,706.1899645512044,709.1924767828712,704.3363979719163,705.7399962410859,2118676
2025-05-24,705.8150708100185,708.1041921121322,704.2282991615975,705.9915693477601,1924865
2025-05-25,705.8923596048168,708.0903212093722,706.0674914864217,706.357265003232,2362605
2025-05-26,705.148682498764,706.3250905301361,703.5787340098863,705.4832950568992,2782340
2025-05-27,705.109432575849,705.6219485660321,703.5741081169359,704.9944774615254,1887492
2025-05-28,703.3753499992699,704.1902032336964,700.1610230182255,703.3193051247544,1776108
2025-05-29,701.3089814782234,703.4222909950652,697.5672710062292,701.4987969956439,2396862
2025-05-30,700.2826252571098,702.1354743728762,700.978236501931,701.9356747982803,971536
2025-05-31,702.8584472152941,703.7128789908643,701.5330770554389,702.1909237045194,1223245
2025-06-01,702.9541305278732,705.8875795710408,700.0742511949228,703.1682927188286,1788831
2025-06-02,701.9442934271597,704.736858930895,700.6870293989011,702.2443201023781,1293110
2025-06-03,702.5375876836346,704.1556266939737,701.6423847885244,702.5148366003607,2499088
2025-06-04,705.8113764040892,706.8586705224805,704.066569988215,704.3937222073693,1998607
2025-06-05,703.0396230934952,706.6576215663702,703.1611979772132,704.6486222004737,1756059
2025-06-06,703.6034010981341,703.7786106104551,702.5351581178811,702.5616072703402,2492199
2025-06-07,703.9202420087777,705.4200583617835,700.9771186910076,704.2904719812994,1287988
2025-06-08,705.0880418622872,704.8663473912112,702.9500754318523,704.7834345183628,1011506
2025-06-09,705.4282451504619,706.8769447346414,704.0367957770152,706.0791535560719,1813581
2025-06-10,707.4074681419846,707.8232034454533,707.0022515534145,707.3419495302533,850455
2025-06-11,708.6335057286663,710.7785048293318,705.4940499485818,707.8560048060781,1945698
2025-06-12,709.9629571449299,711.9781557953879,705.6900661155543,709.4080712156772,2564250
2025-06-13,709.8304744868552,710.4838846955996,710.0694412082553,710.356846134719,2341628
2025-06-14,708.6560960085935,709.422337923582,704.3667871631734,708.3439982164814,1816134
2025-06-15,707.4843576222892,707.6745061861563,706.9325346912245,707.6399346701961,845173
2025-06-16,705.4477108243316,709.696490766326,704.5203303682443,705.6094212941634,1927993
2025-06-17,706.0819685158833,707.0647077576268,703.3029313584378,706.6040662454941,2175335
2025-06-18,707.2734098660752,708.11441114261,702.837580443758,707.1580001617943,1159261
2025-06-19,707.8681208823147,708.3820959180405,706.24787672606,707.7451958968921,1217229
2025-06-20,711.4565640203544,712.3020920877408,707.9531227079161,711.1515505032327,2137115
2025-06-21,713.2252794344049,716.264190630935,706.4641896744604,712.7840672478687,872164
2025-06-22,711.9934327567552,714.0518490497884,710.9747954542386,713.0608852638892,2356285
2025-06-23,712.7294916368711,716.7375996673684,712.7398228231486,713.196637512652,2022403
2025-06-24,711.9786682217707,714.9647678265611,711.4413352269958,712.8508641314991,1369958
2025-06-25,712.5927471558389,713.5445812239141,712.1494973737543,712.7591344449846,2223430
